Test | Epoch: 51 | Loss: 1.993 | Acc: 66.320
Train | Epoch: 52 | Loss: 0.182 | Acc: 94.286
Test | Epoch: 52 | Loss: 1.980 | Acc: 67.230
Train | Epoch: 53 | Loss: 0.181 | Acc: 94.184
Test | Epoch: 53 | Loss: 2.035 | Acc: 66.530
Train | Epoch: 54 | Loss: 0.174 | Acc: 94.414
Test | Epoch: 54 | Loss: 2.011 | Acc: 66.640
Train | Epoch: 55 | Loss: 0.177 | Acc: 94.410
Test | Epoch: 55 | Loss: 2.046 | Acc: 66.650
Train | Epoch: 56 | Loss: 0.163 | Acc: 94.856
Test | Epoch: 56 | Loss: 2.043 | Acc: 67.040
Train | Epoch: 57 | Loss: 0.163 | Acc: 94.796
Test | Epoch: 57 | Loss: 2.046 | Acc: 67.020
Train | Epoch: 58 | Loss: 0.163 | Acc: 94.802
Test | Epoch: 58 | Loss: 2.034 | Acc: 67.020
Train | Epoch: 59 | Loss: 0.154 | Acc: 95.134
Test | Epoch: 59 | Loss: 2.060 | Acc: 67.210
Train | Epoch: 60 | Loss: 0.146 | Acc: 95.432
Test | Epoch: 60 | Loss: 2.160 | Acc: 66.660
Train | Epoch: 61 | Loss: 0.151 | Acc: 95.218
Test | Epoch: 61 | Loss: 2.099 | Acc: 67.510
Train | Epoch: 62 | Loss: 0.149 | Acc: 95.252
Test | Epoch: 62 | Loss: 2.091 | Acc: 66.850
Train | Epoch: 63 | Loss: 0.145 | Acc: 95.424
Test | Epoch: 63 | Loss: 2.155 | Acc: 66.870
Train | Epoch: 64 | Loss: 0.136 | Acc: 95.600
Test | Epoch: 64 | Loss: 2.138 | Acc: 66.440
Train | Epoch: 65 | Loss: 0.142 | Acc: 95.466
Test | Epoch: 65 | Loss: 2.171 | Acc: 66.950
Train | Epoch: 66 | Loss: 0.134 | Acc: 95.746
Test | Epoch: 66 | Loss: 2.178 | Acc: 66.100
Train | Epoch: 67 | Loss: 0.138 | Acc: 95.648
Test | Epoch: 67 | Loss: 2.146 | Acc: 66.910
Train | Epoch: 68 | Loss: 0.130 | Acc: 95.906
Test | Epoch: 68 | Loss: 2.142 | Acc: 66.690
Train | Epoch: 69 | Loss: 0.134 | Acc: 95.732
Test | Epoch: 69 | Loss: 2.215 | Acc: 67.100
Train | Epoch: 70 | Loss: 0.123 | Acc: 96.038
Test | Epoch: 70 | Loss: 2.199 | Acc: 67.040
Train | Epoch: 71 | Loss: 0.123 | Acc: 96.148
Test | Epoch: 71 | Loss: 2.183 | Acc: 66.820
Train | Epoch: 72 | Loss: 0.122 | Acc: 96.122
Test | Epoch: 72 | Loss: 2.270 | Acc: 66.560
Train | Epoch: 73 | Loss: 0.125 | Acc: 96.086
Test | Epoch: 73 | Loss: 2.242 | Acc: 66.400
Train | Epoch: 74 | Loss: 0.117 | Acc: 96.268
Test | Epoch: 74 | Loss: 2.236 | Acc: 66.750
Train | Epoch: 75 | Loss: 0.110 | Acc: 96.518
Test | Epoch: 75 | Loss: 2.245 | Acc: 66.580
Train | Epoch: 76 | Loss: 0.116 | Acc: 96.270
Test | Epoch: 76 | Loss: 2.291 | Acc: 66.050
Train | Epoch: 77 | Loss: 0.114 | Acc: 96.472
Test | Epoch: 77 | Loss: 2.291 | Acc: 66.370
Train | Epoch: 78 | Loss: 0.111 | Acc: 96.412
